ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: woodmart_price_unit_of_measure,Meta: woodmart_total_stock_quantity,Meta: _product_360_image_gallery,Meta: _woodmart_whb_header,Meta: _woodmart_main_layout,Meta: _woodmart_sidebar_width,Meta: _woodmart_custom_sidebar,Meta: _woodmart_new_label,Meta: _woodmart_new_label_date,Meta: _woodmart_swatches_attribute,Meta: _woodmart_related_off,Meta: _woodmart_exclude_show_single_variation,Meta: _woodmart_product_video,Meta: _woodmart_product_hashtag,Meta: _woodmart_single_product_style,Meta: _woodmart_thums_position,Meta: _woodmart_extra_content,Meta: _woodmart_extra_position,Meta: _woodmart_product_design,Meta: _woodmart_product-background,Meta: _woodmart_hide_tabs_titles,Meta: _woodmart_product_custom_tab_title,Meta: _woodmart_product_custom_tab_content_type,Meta: _woodmart_product_custom_tab_content,Meta: _woodmart_product_custom_tab_html_block,Meta: _woodmart_product_custom_tab_title_2,Meta: _woodmart_product_custom_tab_content_type_2,Meta: _woodmart_product_custom_tab_content_2,Meta: _woodmart_product_custom_tab_html_block_2,Meta: _wpb_vc_js_status
20000,simple,,Espresso,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.0,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20001,simple,,Doppio,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.5,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20002,simple,,Cortado,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.5,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20003,simple,,Espresso Macchiato,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.5,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20004,simple,,Americano - small,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.0,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20005,simple,,Americano - big,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3.5,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20006,simple,,Cappuccino - small,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.0,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20007,simple,,Cappuccino - big,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5.0,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20008,simple,,Flat White,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.5,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
20009,simple,,Latte - small,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.5,Espresso based,,,,,,,,,,,,0,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,False
